experiment,total_outliers_frac_seed,num_outliers,overlap,outliers_max_dist_mm,outliers_dist_mm,start_day,end_day
13176,0.0,0,0.9749708606833937,0.0,[],60,66
13177,0.0,0,0.9525558024929945,0.0,[],0,60 (1)
13253,7.699999999999999,12,0.8803124282104295,1.876166303929365,"[0.69282032 0.8        0.8        1.8761663  1.49666295 0.89442719
 0.8        0.89442719 0.89442719 0.8        0.8        0.56568542]",0,59
13254,5.976315789473684,13,0.8290108658426476,2.529822128134694,"[2.52982213 0.69282032 0.69282032 0.69282032 0.89442719 0.89442719
 2.03960781 0.8        1.44222051 1.2        0.89442719 1.13137085
 1.2       ]",0,59
13331,0.75,3,0.9899524061343205,1.1999999999999957,[0.8        1.2        0.89442719],0,1
13332,3.2789473684210524,9,0.9196842860559675,1.131370849898472,"[0.56568542 0.69282032 1.13137085 0.56568542 0.8        0.69282032
 1.13137085 0.56568542 0.9797959 ]",0,62
13577,2.4,6,0.8944530969210495,2.8565713714171297,[0.89442719 1.32664992 1.49666295 2.85657137 0.69282032 1.2       ],0,62
13578,5.05,8,0.5374297267975146,2.154065922853794,"[2.03960781 1.95959179 2.15406592 1.64924225 0.69282032 1.32664992
 0.56568542 1.13137085]",0,62
