experiment,total_outliers_frac_seed,num_outliers,overlap,outliers_max_dist_mm,outliers_dist_mm,start_day,end_day
13176,0.0,0,0.9747879077548094,0.0,[],60,66
13177,0.0,0,0.9508165947062136,0.0,[],0,60 (1)
13253,8.047368421052632,12,0.8773281472062233,2.0615528128088303,"[0.8660254  1.         0.70710678 2.06155281 1.5        1.
 1.         1.11803399 0.8660254  0.70710678 0.70710678 0.70710678]",0,59
13254,5.742105263157894,13,0.8242553191489361,2.692582403567252,"[2.6925824  0.70710678 0.8660254  0.70710678 0.8660254  1.11803399
 2.54950976 1.         1.5        1.22474487 0.8660254  1.11803399
 1.5       ]",0,59
13331,0.6842105263157894,3,0.9883305875892366,1.4142135623730951,[0.70710678 1.41421356 1.        ],0,1
13332,3.598538011695906,9,0.9151543498596819,1.118033988749895,"[0.70710678 0.70710678 0.70710678 1.11803399 0.8660254  0.70710678
 0.8660254  1.11803399 1.11803399]",0,62
13577,2.843055555555556,8,0.8919615655026951,2.5495097567963922,"[0.70710678 1.         1.11803399 1.6583124  2.54950976 0.70710678
 0.70710678 0.8660254 ]",0,62
13578,4.981578947368422,8,0.5301757066462949,2.179449471770337,"[2.17944947 2.12132034 2.06155281 1.6583124  0.70710678 1.22474487
 1.         1.11803399]",0,62
