case,error_mm
13176_0_60,1.83281574
13176_0_66,1.185242729
13176_60_66,0.9168753164628832
13177_0_60,1.2631647455575343
13331_0_1,1.259808584936062
13332_0_62,0.9485669714914161
13577_0_62,0.8117484144728825
13578_0_62,1.295208605539959
13253_0_59,1.628048531760639
13254_0_59,0.9396507704490258
